TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud,FraudStatus
76761,2024-09-20 13:32:35.922474,3676.52,999,purchase,Los Angeles,0,No Fraud
78392,2024-01-08 18:08:35.930920,4302.38,999,refund,Philadelphia,0,No Fraud
79048,2024-06-23 19:12:35.933862,3617.51,999,refund,Chicago,0,No Fraud
80909,2024-10-17 16:18:35.942333,4878.34,999,purchase,New York,0,No Fraud
82652,2023-10-22 16:34:35.948547,2324.05,999,purchase,Dallas,0,No Fraud
87363,2024-08-02 14:39:35.966308,4447.62,999,purchase,Philadelphia,0,No Fraud
89081,2024-07-20 12:07:35.973286,2850.58,999,purchase,Chicago,0,No Fraud
89828,2023-11-08 00:20:35.984895,2183.86,999,purchase,San Antonio,0,No Fraud
90169,2024-02-12 14:48:35.986200,3630.76,999,refund,San Jose,0,No Fraud
90255,2024-04-29 16:20:35.986485,732.44,999,refund,Chicago,0,No Fraud
90965,2024-02-04 10:08:35.989085,1163.14,999,purchase,Chicago,0,No Fraud
91707,2024-03-01 11:34:35.991716,4106.44,999,refund,Philadelphia,0,No Fraud
92686,2024-03-02 19:08:35.996275,4029.49,999,purchase,Dallas,0,No Fraud
93250,2024-09-07 06:56:35.998654,2066.57,999,purchase,New York,0,No Fraud
93364,2023-12-08 09:14:35.999195,4929.07,999,refund,San Jose,0,No Fraud
94230,2024-02-26 23:29:36.002903,3372.71,999,purchase,San Antonio,0,No Fraud
96515,2024-03-09 01:46:36.012587,4668.46,999,purchase,New York,0,No Fraud
96519,2023-12-22 15:36:36.012609,3173.59,999,purchase,Phoenix,0,No Fraud
96987,2024-05-21 09:24:36.014670,1463.98,999,refund,Phoenix,0,No Fraud
97403,2024-10-19 18:13:36.016492,1152.54,999,refund,San Diego,0,No Fraud
98924,2024-06-23 00:22:36.022994,1006.03,999,refund,San Jose,0,No Fraud
99037,2024-07-30 02:45:36.023462,3746.99,999,purchase,San Diego,0,No Fraud
99546,2024-04-28 23:28:36.025729,4717.35,999,purchase,San Diego,0,No Fraud
99860,2024-10-08 15:07:36.027051,4203.1,999,purchase,Dallas,0,No Fraud
